,id,object_name,chain,object_type,address,number,street,Url
945,21487,буфет шк. 584,False,буфет,"город москва, профсоюзная улица, дом 24, корпус 1",120,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 24, корпус 1"
946,27269,лимончино,False,ресторан,"город москва, профсоюзная улица, дом 33, строение 1",70,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 33, строение 1"
947,21586,школа 190,False,буфет,"город москва, профсоюзная улица, дом 40, корпус 1",30,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 40, корпус 1"
948,28529,гуп 1-ый автобусный парк «мосгортранс» автобусная,False,столовая,"город москва, профсоюзная улица, дом 58/32, корпус 1",16,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 58/32, корпус 1"
949,143692,кафе еасс,False,кафе,"город москва, профсоюзная улица, дом 98, корпус 10",20,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 98, корпус 10"
950,154938,суши вок,True,кафе,"город москва, профсоюзная улица, дом 113, корпус 1",10,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 113, корпус 1"
951,29610,столовая гбоу школа № 1507 корпус школьного образования № 1507,False,столовая,"город москва, профсоюзная улица, дом 132, корпус 7",100,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 132, корпус 7"
952,28530,столовая при доме-пансионате ветеранов науки,False,столовая,"город москва, профсоюзная улица, дом 132, корпус 8",75,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 132, корпус 8"
1386,22331,столовая миэт,False,столовая,"город москва, город зеленоград, улица юности, дом 11",56,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, улица юности, дом 11"
1405,20199,это,False,кафе,"город москва, город зеленоград, корпус 401",35,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 401"
1406,68113,френдс,False,кафе,"город москва, город зеленоград, корпус 435",34,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 435"
1407,20105,кафе «граф монте-кристо»,False,кафе,"город москва, город зеленоград, корпус 436",40,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 436"
1408,22982,альфорно,False,кафе,"город москва, город зеленоград, корпус 438",49,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 438"
1409,151267,альфорно,False,кафе,"город москва, город зеленоград, корпус 438",45,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 438"
1410,150537,кафе «вечный зов»,False,кафе,"город москва, город зеленоград, корпус 834а",30,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 834а"
1411,128119,кафе «суши сет»,True,фаст-фуд,"город москва, город зеленоград, корпус 1106",7,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 1106"
1412,24023,пекарня «дружок-пирожок»,False,кафетерий,"город москва, город зеленоград, корпус 1449",5,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 1449"
1424,25241,кафе «топаз-джони»,False,кафе,"город москва, проспект мира, дом 108",16,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 108"
1433,148879,котлета,False,ресторан,"город москва, ленинградский проспект, дом 77, корпус 4",47,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 77, корпус 4"
1440,24022,бар «джанго»,False,бар,"город москва, город зеленоград, корпус 1456",50,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 1456"
1441,149745,68. пауза,False,бар,"город москва, город зеленоград, корпус 1456",48,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 1456"
1453,28532,столовая при пансионате «коньково» для ветеранов войны,False,столовая,"город москва, профсоюзная улица, дом 140, корпус 6",95,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 140, корпус 6"
1455,26310,talk of the town,False,ресторан,"город москва, ленинский проспект, дом 113/1",90,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 113/1"
1460,23922,жасмин,False,кафе,"город москва, ленинский проспект, дом 121/1, корпус 3",45,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 121/1, корпус 3"
1473,26019,иль патио планета суши,True,ресторан,"город москва, проспект мира, дом 33, корпус 1",65,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 33, корпус 1"
1474,105190,столовая в тоц олимпик плаза,False,столовая,"город москва, проспект мира, дом 33, корпус 1",50,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 33, корпус 1"
1476,67810,сабвей,True,фаст-фуд,"город москва, проспект мира, дом 146",15,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 146"
1477,129980,сушишоп,True,кафе,"город москва, проспект мира, дом 146",18,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 146"
1552,19718,буфет,False,буфет,"город москва, проспект вернадского, дом 82, строение 2",40,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 82, строение 2"
1562,157568,кафе «tornano»,False,кафе,"город москва, проспект вернадского, дом 92",18,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 92"
1567,27640,столовая школы 56,False,столовая,"город москва, кутузовский проспект, дом 22",200,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 22"
1568,120295,дижестив,False,кафе,"город москва, кутузовский проспект, дом 33",75,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 33"
1569,29632,столовая школы 1465,False,столовая,"город москва, кутузовский проспект, дом 24",25,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 24"
1596,157309,азбука вкуса,True,кафе,"город москва, ленинградский проспект, дом 69, строение 1",10,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 69, строение 1"
1597,129609,булочная 5,False,кафе,"город москва, ленинградский проспект, дом 69, строение 1",15,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 69, строение 1"
