,id,object_name,chain,object_type,address,number,street
10599,183874,японоитальяна,False,закусочная,"город москва, улица недорубова, дом 5",4,улица недорубова
10634,185464,так сказала моя мама,False,кафе,"город москва, большой симоновский переулок, дом 2",16,большой симоновский переулок
10682,179279,пивзавод77,False,бар,"город москва, спартаковский переулок, дом 2, строение 1",128,спартаковский переулок
10706,183355,кальян бар «garage lounge»,False,кафе,"город москва, малый златоустинский переулок, дом 3, строение 3",10,малый златоустинский переулок
10788,175527,столовая,False,столовая,"город москва, 2-й балтийский переулок, дом 3",20,2-й балтийский переулок
10803,189840,кафе «emivi»,False,кафе,"город москва, малый конюшковский переулок, дом 2",46,малый конюшковский переулок
10826,28845,столовая школы 688,False,столовая,"город москва, 8-я улица соколиной горы, дом 5а",96,8-я улица соколиной горы
10857,177672,white eagles pub,False,бар,"город москва, козицкий переулок, дом 1а, строение 2",90,козицкий переулок
10978,188968,«гбоу «школа с углубленным изучением английского языка» №1208»,False,столовая,"город москва, улица шумилова, дом 9",160,улица шумилова
11043,176042,столовая,False,столовая,"город москва, газгольдерная улица, дом 6",20,газгольдерная улица
11067,21116,пропиком,False,буфет,"город москва, 8-й проезд марьиной рощи, дом 30, строение 1",32,8-й проезд марьиной рощи
11111,174933,шаурма,False,фаст-фуд,"город москва, проезд нансена, владение 3б",0,проезд нансена
11123,183018,кафе свежъ,False,кафе,"город москва, нововладыкинский проезд, дом 8, строение 5",96,нововладыкинский проезд
11128,28737,столовая-доготовочная при школе 1414,False,столовая,"город москва, улица советской армии, дом 9",184,улица советской армии
11131,28743,волна бизнеса,False,буфет,"город москва, 5-й проезд марьиной рощи, дом 15а, строение 1",98,5-й проезд марьиной рощи
11230,28300,з-д «компрессор»,False,столовая,"город москва, 2-я улица энтузиастов, дом 5",110,2-я улица энтузиастов
11671,182680,кафе,False,кафе,"город москва, садовнический проезд, дом 6",20,садовнический проезд
11679,174168,столовая,False,столовая,"город москва, малая андроньевская улица, дом 20/8, строение 1-1а",86,малая андроньевская улица
11890,187742,хлеб насущный,True,кафе,"город москва, улица авиаконструктора микояна, дом 12",30,улица авиаконструктора микояна
11915,182311,папа джонс,True,кафе,"город москва, северодвинская улица, дом 20",20,северодвинская улица
11943,172930,домино'с пицца,True,фаст-фуд,"город москва, 4-й кожевнический переулок, дом 4",16,4-й кожевнический переулок
12016,183526,кафе при азс лукойл,True,кафе,"город москва, малая тульская улица, дом 57",17,малая тульская улица
12154,192763,кафе «фейна»,False,кафе,"город москва, мерзляковский переулок, дом 15",15,мерзляковский переулок
12159,190918,кафе «кафейня»,False,кафе,"город москва, электрический переулок, дом 8, строение 2",20,электрический переулок
12182,192097,ветерок,False,кафе,"город москва, улица старые кузьминки, дом 10",40,улица старые кузьминки
12210,26414,ресторан «архитектор»,False,кафе,"город москва, гранатный переулок, дом 7, строение 1",100,гранатный переулок
12275,194986,plan b,False,закусочная,"город москва, улица атарбекова, дом 4а",8,улица атарбекова
12299,201930,пиво бар,False,бар,"город москва, проезд донелайтиса, дом 30",0,проезд донелайтиса
12345,198917,грузинская пекарня,False,кулинария,"город москва, улица маршала мерецкова, дом 4",2,улица маршала мерецкова
12363,197775,зеленый змий,False,буфет,"город москва, 2-я прядильная улица, дом 4",4,2-я прядильная улица
12465,201978,сушиguru,False,кафе,"город москва, челюскинская улица, дом 13",6,челюскинская улица
12476,200619,бон кафе,False,кулинария,"город москва, улица захарьинские дворики, дом 1, корпус 1",0,улица захарьинские дворики
12490,201200,гюмри,False,кафе,"город москва, базовая улица, дом 2, корпус 1",60,базовая улица
12492,203587,ivas lounge,False,бар,"город москва, симферопольский проезд, дом 18",20,симферопольский проезд
12538,193116,ресторан «bbcafe»,False,ресторан,"город москва, скатертный переулок, дом 13",75,скатертный переулок
12600,27567,столовая,False,столовая,"город москва, 3-й лихачевский переулок, дом 2а",190,3-й лихачевский переулок
12700,194758,бильярдный клуб «дуплет»,False,кафе,"город москва, улица кухмистерова, дом 20, корпус 2",40,улица кухмистерова
12730,198119,лесной уют,False,кафе,"город москва, народный проспект, дом 17, строение 24",30,народный проспект
12813,194975,кафе «джиджигриль»,False,кафе,"город москва, 1-й лучевой просек, дом 1",50,1-й лучевой просек
12845,200126,дядя ваня,False,кафе,"город москва, проспект 40 лет октября, дом 7, строение 2",48,проспект 40 лет октября
12907,195686,стильавто,False,кафе,"город москва, улица айвазовского, владение 7, строение 1",33,улица айвазовского
12918,195570,кунак,False,кафе,"город москва, тарусская улица, дом 10",50,тарусская улица
12962,201719,самарканд,False,кафе,"город москва, производственная улица, дом 1, корпус 1, строение 1",15,производственная улица
